ID	Name (Japanese)	Name (English)	Former name (Japanese)	Former name (English)	# of rooms	Address	Latitude	Longitude
1799	龍宮殿（プリンスグランドリゾート）	Ryuguden (Prince Grand Resort)			24	〒250-0522 神奈川県足柄下郡箱根町元箱根１３９	35.2117415	139.0110819
12599	立川ワシントンホテル	Tachikawa Washington Hotel			170	〒190-0023 東京都立川市柴崎町３丁目７?１６	35.696676	139.411839
45390	木更津ワシントンホテル	Kisarazu Washington Hotel			146	千葉県木更津市大和１-２-１	35.38095695	139.9278725
4274	名古屋マリオットアソシアホテル	Nagoya Marriott Associa			780	〒450-0002 愛知県名古屋市中村区名駅１丁目１?４	35.170527	136.883004
45282	名古屋プリンスホテル　スカイタワー	Nagoya Prince Hotel Sky Tower			170	愛知県名古屋市中村区平池町４-６０-１２　グローバルゲート３１階	35.1622605	136.8836895
32885	名古屋ＪＲゲートタワーホテル	Nagoya JR Gate Tower Hotel			350	愛知県名古屋市中村区名駅１－１－３	35.170711	136.882545
32913	万座高原ホテル	Manza Kogen Hotel			165	群馬県吾妻郡嬬恋村万座温泉	36.635918	138.509217
1616	万座プリンスホテル	Manza Prince Hotel			232	群馬県吾妻郡嬬恋村万座温泉	36.6370472	138.5078852
9811	宝塚ワシントンホテル	Takarazuka Washington Hotel			135	〒665-0845 兵庫県宝塚市栄町２丁目２?２	34.809841	135.340716
7335	富良野プリンスホテル	Furano Prince Hotel			118	〒076-0034 北海道富良野市北の峰町１８?６	43.340038	142.357622
3039	富士マリオットホテル山中湖	Fuji Marriott Hotel Yamanakako			103	〒401-0502 山梨県南都留郡山中湖村平野１２５６?１	35.439407	138.921029
8442	品川プリンスホテル	Shinagawa Prince Hotel			257	〒108-0074 東京都港区高輪４丁目１０?３０	35.62772785	139.7362457
2562	苗場プリンスホテル	Naeba Prince Hotel			1224	〒949-6212 新潟県南魚沼郡湯沢町三国２０２	36.791154	138.783214
52087	琵琶湖マリオットホテル	Lake Biwa Marriott Hotel			0	滋賀県守山市今浜町十軒家２８７６	35.12495314	135.9552577
341	八戸ワシントンホテル	Hachinohe Washington Hotel			126	〒031-0053 青森県八戸市徒士町１１	40.508836	141.488584
1820	箱根湯の花プリンスホテル	Hakone Yunohana Prince Hotel			59	〒250-0523 神奈川県足柄下郡箱根町芦之湯９３	35.22591283	139.0376958
66161	箱根園コテージ（プリンスグランドリゾート）	Hakone Garden Cottage (Prince Grand Resort)			77	神奈川県足柄下郡箱根町元箱根１４４	35.21390785	139.0080738
70380	箱根 仙石原プリンスホテル	Hakone Sengokuhara Prince Hotel			0	"箱根町, 仙石原１２４６"	35.26035887	138.9956452
3545	函館大沼プリンスホテル	Hakodate-Onuma Prince Hotel			292	北海道亀田郡七飯町西大沼温泉	41.994067	140.641969
10891	日南海岸　南郷プリンスホテル	Nichinankaigan Nango Prince Hotel			84	宮崎県日南市南郷町城浦　	31.52499962	131.3789978
536	南紀白浜マリオットホテル	Shirahama Nanki Marriott Hotel			100	和歌山県西牟婁郡白浜町２４２８	33.678168	135.348066
33187	藤田観光ワシントンホテル旭川	Fujita Kanko Washington Hotel Asahikawa			260	旭川市宮下通り７丁目	43.764852	142.358378
8426	東京マリオットホテル	Tokyo Marriott Hotel			249	〒140-0001 東京都品川区北品川４丁目７?３６	35.622036	139.736749
8158	東京ベイ有明ワシントンホテル	Tokyo Bay Ariake Washington Hotel			830	〒135-0063 東京都江東区有明３丁目７?１１	35.63263993	139.7929879
27422	東京プリンスホテル	Tokyo Prince Hotel			462	〒105-0011 東京都港区芝公園３丁目３?１	35.659009	139.747939
